PROBE_ID	ENTREZ_GENE_ID	SYMBOL
ILMN_1795204	1587	ADAM3A
ILMN_2223911	1587	ADAM3A
ILMN_1685531	255926	ADAM5
ILMN_1764554	255926	ADAM5
ILMN_2302214	255926	ADAM5P
ILMN_1783312	8755	ADAM6
ILMN_2143210	8755	ADAM6
ILMN_1750294	8756	ADAM7
ILMN_1708348	101	ADAM8
ILMN_1727524	8754	ADAM9
ILMN_1716909	27299	ADAMDEC1
ILMN_2103107	27299	ADAMDEC1
ILMN_1673566	9510	ADAMTS1
ILMN_1751168	81794	ADAMTS10
ILMN_1660970	81792	ADAMTS12
ILMN_1787386	11093	ADAMTS13
ILMN_2286570	11093	ADAMTS13
ILMN_2413732	11093	ADAMTS13
ILMN_1873412	140766	ADAMTS14
ILMN_1676452	140766	ADAMTS14
ILMN_2358134	140766	ADAMTS14
ILMN_1683781	170689	ADAMTS15
ILMN_1726247	170690	ADAMTS16
ILMN_1682989	170691	ADAMTS17
ILMN_1739872	170692	ADAMTS18
ILMN_1770152	170692	ADAMTS18
ILMN_1656171	171019	ADAMTS19
ILMN_1796628	9509	ADAMTS2
ILMN_1811765	9509	ADAMTS2
ILMN_1791795	80070	ADAMTS20
ILMN_1787908	80070	ADAMTS20
ILMN_1651717	80070	ADAMTS20
ILMN_1703803	9508	ADAMTS3
ILMN_2092933	9507	ADAMTS4
ILMN_1681886	11096	ADAMTS5
ILMN_1767362	11174	ADAMTS6
ILMN_3251322	11173	ADAMTS7
ILMN_2211790	11173	ADAMTS7
ILMN_1672403	11095	ADAMTS8
ILMN_1805543	56999	ADAMTS9
ILMN_1706992	92949	ADAMTSL1
ILMN_1684919	92949	ADAMTSL1
ILMN_1727084	92949	ADAMTSL1
ILMN_1705250	92949	ADAMTSL1
ILMN_1722621	92949	ADAMTSL1
ILMN_1721495	9719	ADAMTSL2
ILMN_1798690	57188	ADAMTSL3
ILMN_1687035	54507	ADAMTSL4
ILMN_1777683	54507	ADAMTSL4
ILMN_1762294	54507	ADAMTSL4
ILMN_1793040	339366	ADAMTSL5
ILMN_3247424	11033	ADAP1
ILMN_1763000	55803	ADAP2
ILMN_1776777	103	ADAR
ILMN_1706963	103	ADAR
ILMN_2320964	103	ADAR
ILMN_1697628	104	ADARB1
ILMN_2319326	104	ADARB1
ILMN_1657442	104	ADARB1
ILMN_1679797	104	ADARB1
ILMN_1749493	105	ADARB2
ILMN_1657139	23536	ADAT1
ILMN_3245693	134637	ADAT2
ILMN_1806275	113179	ADAT3
ILMN_1659599	113451	ADC
ILMN_1698777	57143	ADCK1
ILMN_1663132	90956	ADCK2
ILMN_1700349	79934	ADCK4
ILMN_1761309	203054	ADCK5
ILMN_2120555	107	ADCY1
ILMN_1742073	107	ADCY1
ILMN_3241894	55811	ADCY10
ILMN_1810691	108	ADCY2
ILMN_1676893	109	ADCY3
ILMN_2148944	196883	ADCY4
ILMN_1708588	111	ADCY5
ILMN_2311674	112	ADCY6
ILMN_1685156	112	ADCY6
ILMN_1655935	113	ADCY7
ILMN_1754440	114	ADCY8
ILMN_1654287	115	ADCY9
ILMN_1763344	116	ADCYAP1
ILMN_1711736	117	ADCYAP1R1
ILMN_2356786	118	ADD1
ILMN_1759252	118	ADD1
ILMN_1678791	119	ADD2
ILMN_2336146	119	ADD2
ILMN_2286339	119	ADD2
ILMN_1694133	119	ADD2
ILMN_1678501	120	ADD3
ILMN_1787378	120	ADD3
ILMN_1814526	120	ADD3
ILMN_2311278	120	ADD3
ILMN_1764309	124	ADH1A
ILMN_1811598	125	ADH1B
ILMN_1740717	126	ADH1C
ILMN_2136010	127	ADH4
ILMN_1797912	127	ADH4
ILMN_1738604	128	ADH5
ILMN_1691175	130	ADH6
ILMN_2223359	131	ADH7
ILMN_1702858	137872	ADHFE1
ILMN_2363634	137872	ADHFE1
ILMN_1813975	55256	ADI1
ILMN_1743331	149685	ADIG
ILMN_1775045	9370	ADIPOQ
ILMN_2096322	51094	ADIPOR1
ILMN_1688322	51094	ADIPOR1
ILMN_2224833	79602	ADIPOR2
ILMN_2358626	132	ADK
ILMN_1768062	132	ADK
ILMN_2358628	132	ADK
ILMN_1801020	132	ADK
ILMN_1708934	133	ADM
ILMN_1702933	79924	ADM2
ILMN_1657993	23394	ADNP
ILMN_1666019	23394	ADNP
ILMN_2080751	22850	ADNP2
ILMN_1690352	84890	ADO
ILMN_2275396	134	ADORA1
ILMN_2373444	134	ADORA1
ILMN_1747227	134	ADORA1
ILMN_1807372	135	ADORA2A
ILMN_1703946	136	ADORA2B
ILMN_1733259	140	ADORA3
ILMN_1730710	140	ADORA3
ILMN_1793959	83440	ADPGK
ILMN_1794512	141	ADPRH
ILMN_1795788	113622	ADPRHL1
ILMN_1760335	113622	ADPRHL1
ILMN_1788530	113622	ADPRHL1
ILMN_1811480	54936	ADPRHL2
ILMN_1813598	148	ADRA1A
ILMN_1653821	148	ADRA1A
ILMN_1780551	148	ADRA1A
ILMN_1669227	148	ADRA1A
ILMN_1709167	148	ADRA1A
ILMN_1679754	147	ADRA1B
ILMN_1716421	146	ADRA1D
ILMN_1659371	150	ADRA2A
ILMN_1677868	151	ADRA2B
ILMN_1707445	152	ADRA2C
ILMN_1733963	152	ADRA2C
ILMN_1804255	153	ADRB1
ILMN_1695590	154	ADRB2
ILMN_1694007	155	ADRB3
ILMN_3307926	156	ADRBK1
ILMN_1673330	156	ADRBK1
ILMN_1668900	157	ADRBK2
ILMN_2389013	11047	ADRM1
ILMN_1760143	11047	ADRM1
ILMN_1790757	158	ADSL
ILMN_2092664	159	ADSS
ILMN_1778796	159	ADSS
ILMN_1749804	122622	ADSSL1
ILMN_1720235	122622	ADSSL1
ILMN_2240009	122622	ADSSL1
ILMN_1736178	165	AEBP1
ILMN_1803376	121536	AEBP2
ILMN_3240321	64782	AEN
ILMN_1712944	166	AES
ILMN_2333107	166	AES
ILMN_1707958	166	AES
ILMN_1660424	60312	AFAP1
ILMN_1701998	60312	AFAP1
ILMN_1651235	60312	AFAP1
ILMN_1694140	134265	AFAP1L1
ILMN_1730995	84632	AFAP1L2
ILMN_2404917	84632	AFAP1L2
ILMN_1702696	246181	AFAR3
ILMN_2084562	246182	AFARP1
ILMN_1769563	246182	AFARP1
ILMN_1673119	4299	AFF1
ILMN_2129015	4299	AFF1
ILMN_1725889	2334	AFF2
ILMN_1775235	3899	AFF3
ILMN_1677951	3899	AFF3
ILMN_1708502	27125	AFF4
ILMN_1705447	172	AFG3L1
ILMN_1699172	172	AFG3L1
ILMN_2409898	172	AFG3L1
ILMN_2295698	172	AFG3L1
ILMN_2066124	10939	AFG3L2
ILMN_1777797	173	AFM
ILMN_2095653	125061	AFMID
ILMN_1707551	125061	AFMID
ILMN_1782204	174	AFP
ILMN_2402766	54812	AFTPH
ILMN_1767722	54812	AFTPH
ILMN_2342841	54812	AFTPH
ILMN_1802631	175	AGA
ILMN_2318481	116987	AGAP1
ILMN_2245223	116987	AGAP1
ILMN_3238543	119385	AGAP11
ILMN_1735591	116986	AGAP2
ILMN_2362126	116988	AGAP3
ILMN_2269136	116988	AGAP3
ILMN_3239130	414189	AGAP6
ILMN_2120103	653268	AGAP7
ILMN_3242883	728404	AGAP8
ILMN_2100055	123624	AGBL1
ILMN_1887648	123624	AGBL1
ILMN_1688627	79841	AGBL2
ILMN_1672767	340351	AGBL3
ILMN_2196642	84871	AGBL4
ILMN_2308689	60509	AGBL5
ILMN_2290776	60509	AGBL5
ILMN_1777182	176	AGC1
ILMN_1729777	177	AGER
ILMN_1690829	177	AGER
ILMN_2257015	177	AGER
ILMN_3181215	3267	AGFG1
ILMN_3260345	3267	AGFG1
ILMN_1703228	3268	AGFG2
ILMN_1652023	3268	AGFG2
ILMN_2064917	55109	AGGF1
ILMN_1776153	55109	AGGF1
ILMN_1772645	55750	AGK
ILMN_1775082	178	AGL
ILMN_1680343	178	AGL
ILMN_2277492	178	AGL
ILMN_2371825	178	AGL
ILMN_1717468	178	AGL
ILMN_2274377	178	AGL
ILMN_1750235	178	AGL
ILMN_1664006	178	AGL
ILMN_1707169	79814	AGMAT
ILMN_1779109	10554	AGPAT1
ILMN_1697790	10554	AGPAT1
ILMN_1679520	10554	AGPAT1
ILMN_1732176	10555	AGPAT2
ILMN_1681081	10555	AGPAT2
ILMN_2377430	10555	AGPAT2
ILMN_1661373	56894	AGPAT3
ILMN_2288175	56894	AGPAT3
ILMN_1654010	56894	AGPAT3
ILMN_1732672	56895	AGPAT4
ILMN_1730504	56895	AGPAT4
ILMN_1662049	55326	AGPAT5
ILMN_1740752	137964	AGPAT6
ILMN_1794875	84803	AGPAT9
ILMN_1698209	8540	AGPS
ILMN_3307841	10551	AGR2
ILMN_1814151	10551	AGR2
ILMN_2050246	155465	AGR3
ILMN_1728787	155465	AGR3
ILMN_2234605	375790	AGRN
ILMN_1770454	375790	AGRN
ILMN_1770336	181	AGRP
ILMN_1714253	181	AGRP
ILMN_1813530	183	AGT
ILMN_2223922	23287	AGTPBP1
ILMN_1718071	23287	AGTPBP1
ILMN_1814327	185	AGTR1
ILMN_2341343	185	AGTR1
ILMN_1775634	186	AGTR2
ILMN_1802458	57085	AGTRAP
ILMN_2307656	57085	AGTRAP
ILMN_1709796	189	AGXT
ILMN_1783963	64902	AGXT2
ILMN_2134801	64850	AGXT2L1
ILMN_1757807	64850	AGXT2L1
ILMN_1673529	85007	AGXT2L2
ILMN_1686370	85007	AGXT2L2
ILMN_1809139	25909	AHCTF1
ILMN_1747504	25909	AHCTF1
ILMN_1666679	25909	AHCTF1
ILMN_1657862	191	AHCY
ILMN_1770412	10768	AHCYL1
ILMN_1712786	23382	AHCYL2
ILMN_1680111	27245	AHDC1
ILMN_1791006	54806	AHI1
ILMN_1714567	79026	AHNAK
ILMN_1792495	79026	AHNAK
ILMN_1752159	79026	AHNAK
ILMN_3243156	113146	AHNAK2
ILMN_1812640	196	AHR
ILMN_2162799	196	AHR
ILMN_1782679	57491	AHRR
ILMN_1703617	10598	AHSA1
ILMN_1798308	130872	AHSA2
ILMN_1730625	197	AHSG
ILMN_1696512	51327	AHSP
ILMN_2164164	57379	AICDA
ILMN_3240117	64853	AIDA
ILMN_1703538	199	AIF1
ILMN_1792473	199	AIF1
ILMN_1771827	199	AIF1
ILMN_3246401	83543	AIF1L
ILMN_1770725	83543	AIF1L
ILMN_2313821	9131	AIFM1
ILMN_1717357	9131	AIFM1
ILMN_1668408	9131	AIFM1
ILMN_1667183	9131	AIFM1
ILMN_1712639	84883	AIFM2
ILMN_1704173	150209	AIFM3
ILMN_1797974	51390	AIG1
ILMN_1688625	202	AIM1
ILMN_1776916	55057	AIM1L
ILMN_2113340	55057	AIM1L
ILMN_1669557	55057	AIM1L
ILMN_3307874	55057	AIM1L
ILMN_2214232	9447	AIM2
ILMN_1681301	9447	AIM2
ILMN_1673252	7965	AIMP2
ILMN_2103841	9049	AIP
ILMN_2368268	23746	AIPL1
ILMN_2415292	23746	AIPL1
ILMN_1670282	326	AIRE
ILMN_2261519	326	AIRE
ILMN_1791236	326	AIRE
ILMN_1723521	55966	AJAP1
ILMN_2242299	55966	AJAP1
ILMN_2312764	55966	AJAP1
ILMN_1779965	203	AK1
ILMN_1670542	204	AK2
